广东,#genre#
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
广东珠江,http://a.ifsift.cn:8888/udp/239.77.0.114:5146
广东珠江,http://a.ifsift.cn:8888/udp/239.77.0.1:5146
广东珠江,http://a.ifsift.cn:8888/udp/239.77.0.3:5146
广东珠江,http://a.ifsift.cn:8888/udp/239.77.1.94:5146
广东珠江,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000004000011655
广东珠江,http://116.162.6.191/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel65/1300.m3u8
广东珠江,http://183.6.110.242:9901/hls/1050/index.m3u8
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
广东珠江,http://biaozhun114.com/tv/zbgdyd.php?id=3
广东珠江,http://biaozhun114.com/tv/zbgdyd.php?id=4
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
广东珠江,http://dp.sxtv.top:88/2b/yfy.php?id=65
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8?key=tvbox6_com&playlive=0&authid=0
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://219.135.208.218:8083/tsfile/live/0017_1.m3u8
广东珠江,http://14.29.76.30:9901/tsfile/live/1003_1.m3u8
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
广东珠江,http://116.162.6.191/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel65/1300.m3u8
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8
广东珠江,http://58.252.12.164:8000/udp/239.77.0.1:5146
广东珠江,http://58.252.12.164:8000/udp/239.77.0.114:5146
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8
广东民生,http://a.ifsift.cn:8888/udp/239.77.0.225:5146
广东民生,http://a.ifsift.cn:8888/udp/239.77.0.5:5146
广东民生,http://www.zzlag.top:9087/tsfile/live/1042_1.m3u8?key=txiptv
广东民生,http://biaozhun114.com/tv/zbgdyd.php?id=7
